triad_id,w33_a,w33_b,w33_c,n12_a,n12_b,n12_c,cover_size,cover12,mask_hex
323,18,28,32,C33,C05,X35,12,1,0xfff
324,18,29,31,C33,C11,C20,12,1,0xfff
325,19,20,21,F35,C32,C10,12,1,0xfff
326,19,22,34,F35,C23,C19,12,1,0xfff
327,19,23,36,F35,C25,C15,9,0,0xff8
328,19,25,31,F35,C34,C20,12,1,0xfff
329,19,26,33,F35,C12,C07,12,1,0xfff
330,19,28,37,F35,C05,C09,12,1,0xfff
331,19,29,39,F35,C11,C21,12,1,0xfff
332,20,22,36,C32,C23,C15,12,1,0xfff
333,20,23,35,C32,C25,C29,12,1,0xfff
334,20,25,33,C32,C34,C07,12,1,0xfff
335,20,27,31,C32,C37,C20,12,1,0xfff
336,20,29,38,C32,C11,X36,12,1,0xfff
337,20,30,37,C32,C18,C09,12,1,0xfff
338,21,22,35,C10,C23,C29,9,0,0x1ff
339,21,23,34,C10,C25,C19,9,0,0xff8
340,21,26,31,C10,C12,C20,9,0,0x1ff
341,21,27,33,C10,C37,C07,9,0,0xff8
342,21,28,38,C10,C05,X36,12,1,0xfff
343,21,30,39,C10,C18,C21,12,1,0xfff
344,23,25,30,C25,C34,C18,12,1,0xfff
345,23,26,29,C25,C12,C11,12,1,0xfff
346,23,27,28,C25,C37,C05,12,1,0xfff
347,24,25,29,C24,C34,C11,12,1,0xfff
348,24,26,28,C24,C12,C05,12,1,0xfff
349,24,27,30,C24,C37,C18,9,0,0xff8
350,25,26,27,C34,C12,C37,12,1,0xfff
351,28,29,30,C05,C11,C18,12,1,0xfff
352,32,34,39,X35,C19,C21,12,1,0xfff
353,32,35,38,X35,C29,X36,9,0,0xff8
354,32,36,37,X35,C15,C09,12,1,0xfff
355,33,34,38,C07,C19,X36,6,0,0xfc0
356,33,35,37,C07,C29,C09,12,1,0xfff
357,33,36,39,C07,C15,C21,12,1,0xfff
358,34,35,36,C19,C29,C15,9,0,0xff8
359,37,38,39,C09,X36,C21,12,1,0xfff
