aut_index,perm,comm_norm
139,"(12,22,0,16)(18,4,6,10)(1,14,19,8,7,2,13,20)(3,11)(9,5,21,23,15,17)",77.14920608794364
132,"(12,20,9,10,13,0,2,3,16,7,18,14,21,4,19,6,8,15,22,1)(11,17)",77.14920608794364
159,"(12,17,22,13,8)(18,11,16,7,2,6,23,4,1,14)(19,20,0,5,10)(3,9)(21,15)",77.14920608794364
190,"(12,23,9,19,18,17,15,7)(1,6,5,3,13,0,11,21)(2,8,14,20)(4,22)(10,16)",77.14920608794364
187,"(12,16,18,10,0,22,6,4)(1,20,21,11,13,14,15,17,7,8,3,23)(19,2,9,5)",77.14920608794364
171,"(12,20,19,23,10,0,14,13,11,22,18,8,7,17,4,6,2,1,5,16)(3,15,9,21)",77.14920608794364
161,"(12,14,15,7,22,0,8,21,19,4,6,20,3,13,10)(18,2,9,1,16)(5,11)(17,23)",77.14920608794364
166,"(12,13,9,6,7,15,18,19,21)(1,3,0)(2,20,14)(4,23)(10,17,22,5,16,11)",77.14920608794364
164,"(12,4,14,6,22,2,0,10,20,18,16,8)(1,9,5,7,21,11,19,3,23)(13,15,17)",77.14920608794364
172,"(12,20,21,10,17,18,14,9,16,23,0,2,15,22,5,6,8,3,4,11)(1,7,13)",77.14920608794364
198,"(12,14,0,20,6,8)(18,2)(1,4,7,22,19,10,13,16)(3,15)(5,11)(17,23)",77.14920608794364
206,"(18,6)(1,23,3,8,4,7,17,9,20,10,13,5,21,2,16)(19,11,15,14,22)",77.14920608794364
205,"(12,10,21,6,4,3,18,16,9)(1,11,13,5,19,17)(8,20,14)(22,15,0)(7,23)",77.14920608794364
204,"(12,21,1,16,8,5,18,3,19,4,14,11,6,9,13,10,20,17)(2,23,0,15,7,22)",77.14920608794364
201,"(12,15,8,7,23,0,3,14,13,11,18,9,20,1,17)(19,5,6,21,2)(10,16)",77.14920608794364
215,"(12,0,6)(1,20,9,5)(13,14,3,11)(19,2,21,23,7,8,15,17)(4,10,16)",77.14920608794364
217,"(12,7,17,6,19,5,0,13,11,18,1,23)(2,22,21,14,16,15,20,10,3)(8,4,9)",77.14920608794364
220,"(18,6)(1,13,7)(2,15,20,9,8,21,14,3)(4,5,22,11,16,23)(10,17)",77.14920608794364
222,"(12,3,5,4,19,20,0,9,23,16,1,8,6,15,17,22,7,2)(18,21,11,10,13,14)",77.14920608794364
