u,v,w,z2_triangle_parity,s3_holonomy,s3_class,s3_sign
1,10,18,0,"(0, 1, 2)",id,0
1,10,25,0,"(0, 1, 2)",id,0
1,10,26,0,"(0, 1, 2)",id,0
1,10,28,0,"(2, 0, 1)",3-cycle,0
1,10,30,0,"(1, 2, 0)",3-cycle,0
1,10,32,0,"(2, 0, 1)",3-cycle,0
1,10,39,1,"(2, 1, 0)",transposition,1
1,10,40,1,"(2, 1, 0)",transposition,1
1,10,41,1,"(2, 1, 0)",transposition,1
1,10,42,0,"(0, 1, 2)",id,0
1,10,43,0,"(0, 1, 2)",id,0
1,10,44,0,"(0, 1, 2)",id,0
1,12,14,0,"(1, 0, 2)",transposition,1
1,12,16,0,"(2, 1, 0)",transposition,1
1,12,18,0,"(2, 1, 0)",transposition,1
1,12,20,0,"(0, 1, 2)",id,0
1,12,22,1,"(2, 0, 1)",3-cycle,0
1,12,25,0,"(0, 1, 2)",id,0
1,12,28,0,"(0, 1, 2)",id,0
1,12,32,1,"(2, 1, 0)",transposition,1
1,12,36,0,"(0, 1, 2)",id,0
1,12,37,0,"(2, 1, 0)",transposition,1
1,12,38,0,"(1, 0, 2)",transposition,1
1,12,39,0,"(0, 1, 2)",id,0
1,12,40,1,"(0, 2, 1)",transposition,1
1,12,42,0,"(0, 1, 2)",id,0
1,12,44,1,"(2, 0, 1)",3-cycle,0
1,14,16,0,"(0, 2, 1)",transposition,1
1,14,18,0,"(1, 0, 2)",transposition,1
1,14,22,0,"(0, 1, 2)",id,0
1,14,24,1,"(0, 2, 1)",transposition,1
1,14,25,0,"(1, 0, 2)",transposition,1
1,14,28,1,"(2, 1, 0)",transposition,1
1,14,30,0,"(0, 1, 2)",id,0
1,14,36,0,"(2, 0, 1)",3-cycle,0
1,14,37,0,"(1, 0, 2)",transposition,1
1,14,38,0,"(0, 1, 2)",id,0
1,14,39,1,"(1, 2, 0)",3-cycle,0
1,14,41,0,"(0, 1, 2)",id,0
1,14,43,1,"(2, 1, 0)",transposition,1
1,14,44,0,"(0, 1, 2)",id,0
1,16,18,0,"(1, 2, 0)",3-cycle,0
1,16,20,1,"(0, 1, 2)",id,0
1,16,24,0,"(0, 1, 2)",id,0
1,16,25,0,"(2, 1, 0)",transposition,1
1,16,30,1,"(0, 2, 1)",transposition,1
1,16,32,0,"(0, 1, 2)",id,0
1,16,36,0,"(2, 1, 0)",transposition,1
1,16,37,0,"(0, 1, 2)",id,0
1,16,38,0,"(1, 2, 0)",3-cycle,0
1,16,40,0,"(0, 1, 2)",id,0
1,16,41,1,"(0, 2, 1)",transposition,1
1,16,42,1,"(1, 2, 0)",3-cycle,0
1,16,43,0,"(0, 1, 2)",id,0
1,17,18,0,"(0, 1, 2)",id,0
1,17,20,1,"(2, 1, 0)",transposition,1
1,17,22,1,"(1, 2, 0)",3-cycle,0
1,17,24,1,"(2, 1, 0)",transposition,1
1,17,25,0,"(0, 1, 2)",id,0
1,17,26,0,"(0, 1, 2)",id,0
1,17,28,0,"(2, 0, 1)",3-cycle,0
1,17,30,0,"(1, 0, 2)",transposition,1
1,17,32,0,"(2, 1, 0)",transposition,1
1,17,36,1,"(0, 1, 2)",id,0
1,17,37,1,"(2, 1, 0)",transposition,1
1,17,38,1,"(1, 0, 2)",transposition,1
